"","tempvect","nichevect","Div","Pruned_Prot"
"1",0,-3.89603295963362,"6",NA
"2",1,-3.94502523722309,"6",NA
"3",2,-3.98205162827517,"6",NA
"4",3,-4.01053403355106,"6",NA
"5",4,-4.03292203029776,"6",NA
"6",5,-4.05093549323811,"6",NA
"7",0,-3.91497516680735,"5",5
"8",1,-3.96359961647451,"5",5
"9",2,-4.00036779468784,"5",5
"10",3,-4.02869166380986,"5",5
"11",4,-4.05099853122584,"5",5
"12",5,-4.06898621978783,"5",5
"13",0,-3.93879888773001,"4",4
"14",1,-3.98697992847039,"4",4
"15",2,-4.02344785428317,"4",4
"16",3,-4.05159828524516,"4",4
"17",4,-4.07382988645989,"4",4
"18",5,-4.09180912584636,"4",4
"19",0,-3.95082514675918,"3",6
"20",1,-3.99873366361414,"3",6
"21",2,-4.03500627761886,"3",6
"22",3,-4.06302847598554,"3",6
"23",4,-4.08518310832183,"3",6
"24",5,-4.10312201924103,"3",6
"25",0,-3.97813357264423,"2",2
"26",1,-4.02553453607619,"2",2
"27",2,-4.06147510903234,"2",2
"28",3,-4.0893150490059,"2",2
"29",4,-4.11140014828398,"2",2
"30",5,-4.12934773540748,"2",2
"31",0,-3.97813357264423,"1",2
"32",1,-4.02553453607619,"1",2
"33",2,-4.06147510903234,"1",2
"34",3,-4.0893150490059,"1",2
"35",4,-4.11140014828398,"1",2
"36",5,-4.12934773540748,"1",2
"37",0,-3.29768423115823,"6",NA
"38",1,-3.34910354668907,"6",NA
"39",2,-3.38814511617982,"6",NA
"40",3,-3.41830207548167,"6",NA
"41",4,-3.44208786555285,"6",NA
"42",5,-3.46128229083077,"6",NA
"43",0,-3.32127252779544,"5",6
"44",1,-3.37227552663267,"5",6
"45",2,-3.41103189129417,"5",6
"46",3,-3.44102217566746,"5",6
"47",4,-3.46473730245982,"5",6
"48",5,-3.48392884791762,"5",6
"49",0,-3.36004388964175,"4",3
"50",1,-3.4104610616968,"4",3
"51",2,-3.44885480923775,"4",3
"52",3,-3.47868303773524,"4",3
"53",4,-3.50239102490567,"4",3
"54",5,-3.52168106509694,"4",3
"55",0,-3.38130187346125,"3",4
"56",1,-3.43128617324171,"3",4
"57",2,-3.46938203765048,"3",4
"58",3,-3.49902937367384,"3",4
"59",4,-3.52264539866035,"3",4
"60",5,-3.54190607113962,"3",4
"61",0,-3.39722234571169,"2",1
"62",1,-3.44684943641842,"2",1
"63",2,-3.4846946463018,"2",1
"64",3,-3.51418155834274,"2",1
"65",4,-3.5377054201476,"2",1
"66",5,-3.55692247385147,"2",1
"67",0,-Inf,"1",2
"68",1,-Inf,"1",2
"69",2,-Inf,"1",2
"70",3,-Inf,"1",2
"71",4,-Inf,"1",2
"72",5,-Inf,"1",2
"73",0,-3.59297751737799,"6",NA
"74",1,-3.6426025226368,"6",NA
"75",2,-3.68024160665211,"6",NA
"76",3,-3.70933379176531,"6",NA
"77",4,-3.73232549753278,"6",NA
"78",5,-3.75092787594413,"6",NA
"79",0,-3.61210323044289,"5",1
"80",1,-3.66133874550103,"5",1
"81",2,-3.69870408034766,"5",1
"82",3,-3.72762550556328,"5",1
"83",4,-3.75052564824936,"5",1
"84",5,-3.76909377395811,"5",1
"85",0,-3.62607119514805,"4",5
"86",1,-3.67499437741756,"4",5
"87",2,-3.71213628148854,"4",5
"88",3,-3.74091174087212,"4",5
"89",4,-3.76372618834967,"4",5
"90",5,-3.78224899805936,"4",5
"91",0,-3.64146736595326,"3",2
"92",1,-3.690048360962,"3",2
"93",2,-3.72694885801452,"3",2
"94",3,-3.75556912651125,"3",2
"95",4,-3.77829398652193,"3",2
"96",5,-3.79677315434621,"3",2
"97",0,-3.65589153618317,"2",6
"98",1,-3.70414390033518,"2",6
"99",2,-3.74081240109148,"2",6
"100",3,-3.76928267940354,"2",6
"101",4,-3.79191948868767,"2",6
"102",5,-3.81035459840291,"2",6
"103",0,-3.65589153618317,"1",2
"104",1,-3.70414390033518,"1",2
"105",2,-3.74081240109148,"1",2
"106",3,-3.76928267940354,"1",2
"107",4,-3.79191948868767,"1",2
"108",5,-3.81035459840291,"1",2
"109",0,-4.11543735714677,"6",NA
"110",1,-4.16395300305126,"6",NA
"111",2,-4.2006588578924,"6",NA
"112",3,-4.22895784551461,"6",NA
"113",4,-4.25126869507187,"6",NA
"114",5,-4.26928060454677,"6",NA
"115",0,-4.13674287855165,"5",5
"116",1,-4.18483691819885,"5",5
"117",2,-4.22125009928381,"5",5
"118",3,-4.24937079082153,"5",5
