"","tempvect","minvect","maxvect","Div","MaxSeed","MinSeed","Pruned_Prot"
"1",0,-3.76139397976545,-2.12524747430522,6,803022,68730,NA
"2",1,-3.84568043773248,-2.20996147942893,6,803022,68730,NA
"3",2,-3.91339793899314,-2.2754782074216,6,803022,68730,NA
"4",3,-3.96867410504966,-2.32540470130512,6,803022,68730,NA
"5",4,-4.01461345425013,-2.36314972346847,6,803022,68730,NA
"6",5,-4.05350714419265,-2.39172545704471,6,803022,68730,NA
"7",0,-3.49372967680043,-2.13778006273932,5,803022,68730,4
"8",1,-3.56864566013395,-2.22439090089616,5,803022,68730,4
"9",2,-3.62842889928324,-2.290895549726,5,803022,68730,4
"10",3,-3.67699468897365,-2.34107567426106,5,803022,68730,4
"11",4,-3.71724065803443,-2.3784420734973,5,803022,68730,4
"12",5,-3.75127225370842,-2.40608011965347,5,803022,68730,4
"13",0,-3.52850914734495,-2.1336546064231,4,803022,68730,5
"14",1,-3.60280358140309,-2.21928838362589,4,803022,68730,5
"15",2,-3.66215274279624,-2.28415060791284,4,803022,68730,5
"16",3,-3.7104708615855,-2.3322035900326,4,803022,68730,5
"17",4,-3.75061608420748,-2.3670926675242,4,803022,68730,5
"18",5,-3.78466128252473,-2.39201533148795,4,803022,68730,5
"19",0,-3.36791375228362,-2.06843496274015,3,803022,68730,1
"20",1,-3.44011878742094,-2.15260147247525,3,803022,68730,1
"21",2,-3.49790420454442,-2.21617685307549,3,803022,68730,1
"22",3,-3.54507136117706,-2.26308085508176,3,803022,68730,1
"23",4,-3.5843890191585,-2.29684992071375,3,803022,68730,1
"24",5,-3.61785927995559,-2.32056180723858,3,803022,68730,1
"25",0,-3.0895055995224,-2.08153482505181,2,803022,68730,3
"26",1,-3.14309643240531,-2.16607563945559,2,803022,68730,3
"27",2,-3.18438642125091,-2.22968166718771,2,803022,68730,3
"28",3,-3.21688991504585,-2.27628826873145,2,803022,68730,3
"29",4,-3.24307916476878,-2.30942141176075,2,803022,68730,3
"30",5,-3.26467286958134,-2.33215222233928,2,803022,68730,3
"31",0,-3.11528140166011,-1.9553144397094,1,803022,68730,6
