"","Temp","Ni1size","Ni2size","Ni3size","Ni4size","Ni5size","Ni6size"
"1",0,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732
"2",1,-3.49359504853888,-3.49359504853888,-3.49359504853888,-3.49359504853888,-3.49359504853888,-3.49359504853888
"3",2,-3.53370237333746,-3.53370237333746,-3.53370237333746,-3.53370237333746,-3.53370237333746,-3.53370237333746
"4",3,-3.56369597161196,-3.56369597161196,-3.56369597161196,-3.56369597161196,-3.56369597161196,-3.56369597161196
"5",4,-3.58690275539966,-3.58690275539966,-3.58690275539966,-3.58690275539966,-3.58690275539966,-3.58690275539966
"6",5,-3.60548700775106,-3.60548700775106,-3.60548700775106,-3.60548700775106,-3.60548700775106,-3.60548700775106
"7",0,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761
"8",1,-2.928346789433,-2.928346789433,-2.928346789433,-2.928346789433,-2.928346789433,-2.928346789433
"9",2,-2.97721012214299,-2.97721012214299,-2.97721012214299,-2.97721012214299,-2.97721012214299,-2.97721012214299
"10",3,-3.01261839679051,-3.01261839679051,-3.01261839679051,-3.01261839679051,-3.01261839679051,-3.01261839679051
"11",4,-3.03889818698708,-3.03889818698708,-3.03889818698708,-3.03889818698708,-3.03889818698708,-3.03889818698708
"12",5,-3.05901103775332,-3.05901103775332,-3.05901103775332,-3.05901103775332,-3.05901103775332,-3.05901103775332
"13",0,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447,-2.67263836191447
"14",1,-2.76155947520259,-2.76155947520259,-2.76155947520259,-2.76155947520259,-2.76155947520259,-2.76155947520259
"15",2,-2.82054329174151,-2.82054329174151,-2.82054329174151,-2.82054329174151,-2.82054329174151,-2.82054329174151
"16",3,-2.85731307680984,-2.85731307680984,-2.85731307680984,-2.85731307680984,-2.85731307680984,-2.85731307680984
"17",4,-2.87804054860417,-2.87804054860417,-2.87804054860417,-2.87804054860417,-2.87804054860417,-2.87804054860417
"18",5,-2.88747559273833,-2.88747559273833,-2.88747559273833,-2.88747559273833,-2.88747559273833,-2.88747559273833
"19",0,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276,-2.39864997570276
"20",1,-2.49496894411218,-2.49496894411218,-2.49496894411218,-2.49496894411218,-2.49496894411218,-2.49496894411218
"21",2,-2.55347248229926,-2.55347248229926,-2.55347248229926,-2.55347248229926,-2.55347248229926,-2.55347248229926
"22",3,-2.58061012493681,-2.58061012493681,-2.58061012493681,-2.58061012493681,-2.58061012493681,-2.58061012493681
"23",4,-2.58283337561046,-2.58283337561046,-2.58283337561046,-2.58283337561046,-2.58283337561046,-2.58283337561046
"24",5,-2.56617979673534,-2.56617979673534,-2.56617979673534,-2.56617979673534,-2.56617979673534,-2.56617979673534
"25",0,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732,-3.43832399738732
"26",1,-3.50520893014407,-3.50520893014407,-3.50520893014407,-3.50520893014407,-3.50520893014407,-3.50520893014407
"27",2,-3.55619671555677,-3.55619671555677,-3.55619671555677,-3.55619671555677,-3.55619671555677,-3.55619671555677
"28",3,-3.5964416256184,-3.5964416256184,-3.5964416256184,-3.5964416256184,-3.5964416256184,-3.5964416256184
"29",4,-3.62934345732424,-3.62934345732424,-3.62934345732424,-3.62934345732424,-3.62934345732424,-3.62934345732424
"30",5,-3.65711909450064,-3.65711909450064,-3.65711909450064,-3.65711909450064,-3.65711909450064,-3.65711909450064
"31",0,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761,-2.85985000279761
"32",1,-2.93591276361563,-2.93591276361563,-2.93591276361563,-2.93591276361563,-2.93591276361563,-2.93591276361563
"33",2,-2.99173096566898,-2.99173096566898,-2.99173096566898,-2.99173096566898,-2.99173096566898,-2.99173096566898
